Park Name,Category,count,Nativeness
Grand Canyon National Park,Amphibian,14,Native
Grand Canyon National Park,Amphibian,1,Not Native
Grand Canyon National Park,Bird,444,Native
Grand Canyon National Park,Bird,6,Not Native
Grand Canyon National Park,Fish,8,Native
Grand Canyon National Park,Fish,20,Not Native
Grand Canyon National Park,Insect,52,Native
Grand Canyon National Park,Invertebrate,1,Not Native
Grand Canyon National Park,Mammal,95,Native
Grand Canyon National Park,Mammal,3,Not Native
Grand Canyon National Park,Reptile,57,Native
Grand Canyon National Park,Reptile,1,Not Native
Grand Canyon National Park,Slug/Snail,2,Native
Grand Canyon National Park,Spider/Scorpion,126,Native
Grand Canyon National Park,Vascular Plant,1545,Native
Grand Canyon National Park,Vascular Plant,193,Not Native
Grand Teton National Park,Amphibian,5,Native
Grand Teton National Park,Amphibian,1,Not Native
Grand Teton National Park,Bird,243,Native
Grand Teton National Park,Bird,5,Not Native
Grand Teton National Park,Fish,13,Native
Grand Teton National Park,Fish,7,Not Native
Grand Teton National Park,Mammal,63,Native
Grand Teton National Park,Mammal,1,Not Native
Grand Teton National Park,Reptile,5,Native
Grand Teton National Park,Vascular Plant,1253,Native
Grand Teton National Park,Vascular Plant,153,Not Native
Great Basin National Park,Amphibian,3,Native
Great Basin National Park,Amphibian,1,Not Native
Great Basin National Park,Bird,215,Native
Great Basin National Park,Bird,3,Not Native
Great Basin National Park,Fish,7,Native
Great Basin National Park,Fish,4,Not Native
Great Basin National Park,Insect,12,Native
Great Basin National Park,Mammal,67,Native
Great Basin National Park,Mammal,4,Not Native
Great Basin National Park,Reptile,18,Native
Great Basin National Park,Vascular Plant,761,Native
Great Basin National Park,Vascular Plant,73,Not Native
Great Sand Dunes National Park and Preserve,Amphibian,6,Native
Great Sand Dunes National Park and Preserve,Bird,230,Native
Great Sand Dunes National Park and Preserve,Bird,2,Not Native
Great Sand Dunes National Park and Preserve,Fish,2,Native
Great Sand Dunes National Park and Preserve,Fish,3,Not Native
Great Sand Dunes National Park and Preserve,Insect,1,Native
Great Sand Dunes National Park and Preserve,Mammal,60,Native
Great Sand Dunes National Park and Preserve,Nonvascular Plant,1,Native
